taxonomy_id	name
274	Thermus thermophilus
2918899	Thermus sp. NEB1569
68909	Deinococcus geothermalis
28135	Prevotella oris
165179	Prevotella copri
28133	Prevotella nigrescens
28132	Prevotella melaninogenica
28129	Prevotella denticola
470565	Prevotella histicola
2708117	Capnocytophaga endodontalis
1017	Capnocytophaga gingivalis
1019	Capnocytophaga sputigena
2487072	Epilithonimonas vandammei
2004710	Cloacibacterium caeni
247	Empedobacter brevis
188932	Pedobacter cryoconitis
157687	Leptotrichia wadei
712357	Leptotrichia sp. oral taxon 212
851	Fusobacterium nucleatum
2562443	Trichoderma sp. IMV 00454
40127	Neurospora tetrasperma
5141	Neurospora crassa
2086344	Podosphaera cerasi
62708	Golovinomyces cichoracearum
40559	Botrytis cinerea
119933	Stemphylium vesicarium
105696	Epicoccum nigrum
132096	Corynespora olivacea
2940325	Preussia sp. D2B6
1431937	Neocatenulostroma microsporum
2894517	Lasiodiplodia sp. KE8409
5074	Penicillium brevicompactum
5082	Penicillium roqueforti
47425	Armillaria borealis
262245	Amanita exitialis
264083	Clavaria fumosa
207832	Heterobasidion parviporum
76775	Malassezia restricta
223818	Malassezia japonica
307758	Ustilago bromivora
526925	Melampsora pinitorqua
106018	Cystobasidium slooffiae
29898	Rhodotorula graminis
1712513	Syncephalis pseudoplumigaleata
2734074	Simpcentumvirus Smp131
76761	Pseudomonas veronii
380021	Pseudomonas protegens
515393	Pseudomonas yamanorum
631	Yersinia intermedia
1827285	Acinetobacter sp. MYb10
59779	Paracoccus marcusii
1545044	Paracoccus sanguinis
195105	Haematobacter massiliensis
1402135	Pseudosulfitobacter pseudonitzschiae
1076	Rhodopseudomonas palustris
408	Methylorubrum extorquens
223967	Methylorubrum populi
2897334	Methylorubrum sp. B1-46
2082387	Mesorhizobium sp. Pch-S
2718938	Phyllobacterium sp. 628
2267833	Rhizobium oryzihabitans
152682	Sphingomonas melonis
29581	Janthinobacterium lividum
55508	Janthinobacterium agaricidamnosum
2681552	Variovorax sp. RKNM96
1858609	Acidovorax sp. T1
2738413	Acidovorax sp. YS12
2743470	Acidovorax antarcticus
80866	Delftia acidovorans
1355374	Aliarcobacter lanthieri
2017486	Nocardioides sp. S5
446860	Kocuria flava
72000	Kocuria rhizophila
1179670	Micrococcus sp. KBS0714
2594913	Corynebacterium sanguinis
43765	Corynebacterium amycolatum
39791	Corynebacterium glucuronolyticum
37329	Nocardia farcinica
1681	Bifidobacterium bifidum
1304	Streptococcus salivarius
1309	Streptococcus mutans
1597	Lacticaseibacillus paracasei
1351	Enterococcus faecalis
2738	Vagococcus fluvialis
33028	Staphylococcus saccharolyticus
1280	Staphylococcus aureus
2916802	Parageobacillus sp. KH3-4
1426	Parageobacillus thermoglucosidasius
1536775	Paenibacillus sp. FSL H7-0737
853	Faecalibacterium prausnitzii
1260	Finegoldia magna
54299	Chroococcidiopsis thermalis
336820	Pedobacter roseus
237258	Cloacibacterium normanense
76123	Prevotella enoeca
2211642	Monosporascus sp. 5C6A
70558	Penicillium sumatraense
1173061	Geotrichum candidum
2886359	Stenotrophomonas sp. SI-NJAU-1
2571115	Pseudoxanthomonas sp. X-1
2971912	Pseudomonas sp. CBS
2898483	Pseudomonas sp. 7-41
2804761	Pseudomonas sp. 15A4
253237	Pseudomonas sp. phDV1
2219057	Pseudomonas sp. LG1E9
1573720	Pseudomonas sp. S49
2749807	Pseudomonas sp. Y39-6
169669	Pseudomonas extremorientalis
47878	Pseudomonas azotoformans
70775	Pseudomonas plecoglossicida
2493633	Pseudomonas hydrolytica
317	Pseudomonas syringae
