ID	EXCLUDE	YEAR	TYPE	CITY	LOCATION	LATITUDE	LONGITUDE	STATIONTYPE	GROUNDLEVEL	CLOSEDOPEN	OCCUPANCY	TEMPERATURE	HUMIDITY	RAWPEREADS	CLEANPEREADS	PERCREADSREMOVEDRAW2CLEAN	COVERAGE	UNCLASSIFIED_FBAV2	UNCLASSIFIED_NCBINR	CLASSIFIEDREADS	CONTAMREADS	CONTAMPERC	CONTAMBACREADS	CONTAMBACPERC	CONTAMFUNGIREADS	CONTAMFUNGIPERC
SL470477	FALSE	2019	Sample	New York	207TH STREET (1)	40.864497	-73.918861	Station	Aboveground	NA	30	NA	NA	47227904	40201110	14.88	0.3781372	68.53	21.45	5651906	2700833	47.79	2503036	44.29	197797	3.5
SL470478	FALSE	2019	Sample	New York	DYCKMAN STREET (A)	40.865522	-73.927258	Station	Underground	CLOSED	10	NA	NA	43590820	34703740	20.39	0.3864817	71.7	23.66	4261759	2415527	56.68	2109864	49.51	305663	7.17
SL470479	FALSE	2019	Sample	New York	170TH STREET	40.840107	-73.913337	Interchange	Underground	CLOSED	10	NA	NA	47420340	34377484	27.5	0.3172373	65.89	20.25	5196992	2905063	55.9	2626249	50.53	278814	5.36
SL470480	FALSE	2019	Sample	New York	161ST - YANKEE STADIUM	40.827683	-73.926136	Interchange	Aboveground	NA	30	NA	NA	54414888	39475806	27.45	0.2883759	66.74	18.33	5808001	3304991	56.9	3071176	52.88	233815	4.03
SL470481	FALSE	2019	Sample	New York	ALLERTON AVE.	40.865447	-73.867252	Interchange	Aboveground	NA	10	NA	NA	47127078	35058272	25.61	0.5080552	83.58	42.79	2437849	1296620	53.19	1132797	46.47	163823	6.72
SL470482	FALSE	2019	Sample	New York	JACKSON AVE.	40.81627	-73.90801	Interchange	Aboveground	NA	10	NA	NA	58568030	44342622	24.29	0.4873922	69.76	25.34	5921707	2985742	50.42	2763869	46.67	221873	3.75
SL470483	FALSE	2019	Sample	New York	BROOK AVE.	40.807568	-73.919286	Station	Underground	CLOSED	10	NA	NA	52790718	38917708	26.28	0.3681491	64.27	20.23	6195491	3141599	50.71	2898843	46.79	242756	3.92
SL470484	FALSE	2019	Sample	New York	14TH STREET - 8TH AVE.	40.740462	-74.001982	Station	Underground	CLOSED	30	NA	NA	44176002	25830500	41.53	0.3573098	68.52	25.35	3537171	2236544	63.23	2063313	58.33	173231	4.9
SL470485	FALSE	2019	Sample	New York	Fulton street	40.7103	-74.007812	Interchange	Underground	CLOSED	50	NA	NA	58241724	38298856	34.24	0.3873412	62.3	18.37	6443571	3570553	55.41	3381219	52.47	189334	2.94
SL470486	FALSE	2019	Sample	New York	Ralph Ave	40.678782	-73.921531	Station	Underground	CLOSED	10	NA	NA	50145466	40403654	19.43	0.3312095	68.29	21.94	5662354	2918433	51.54	2505191	44.24	413242	7.3
SL470487	FALSE	2019	Sample	New York	Flushing ave	40.69983	-73.950058	Interchange	Underground	CLOSED	10	NA	NA	59329736	44330776	25.28	0.3897689	70.95	23.21	5576349	3045758	54.62	2589907	46.44	455851	8.17
SL470488	FALSE	2019	Sample	New York	Flushing ave	40.69983	-73.950058	Interchange	Aboveground	NA	50	NA	NA	47502480	33218642	30.07	0.691495	60.33	22.15	5963280	2636953	44.22	2411300	40.44	225653	3.78
SL470489	FALSE	2019	Sample	New York	BROADWAY JUNCTION	40.679322	-73.904077	Station	Aboveground	NA	30	NA	NA	50174070	40935262	18.41	0.616575	69.11	27.64	5673841	2582689	45.52	2289611	40.35	293078	5.17
SL470490	FALSE	2019	Sample	New York	75TH AVE.	40.718379	-73.837326	Station	Underground	CLOSED	10	NA	NA	72412040	59177456	18.28	0.8453297	69.87	20.52	7787325	4254485	54.63	4096672	52.61	157813	2.03
SL470491	FALSE	2019	Sample	New York	FLUSHING - MAIN STREET (7)	40.759605	-73.829896	Station	Underground	CLOSED	30	NA	NA	46293174	23023300	50.27	0.529969	64.83	21.77	3552504	2215197	62.36	2071968	58.32	143229	4.03
SL470492	FALSE	2019	Sample	New York	Jackson Heights - Roosevelt Ave	40.746796	-73.891009	Station	Aboveground	NA	30	NA	NA	49353348	33240522	32.65	0.4210734	68.27	23.52	4649566	2632730	56.62	2419016	52.03	213714	4.6
SL470493	FALSE	2019	Sample	New York	Jackson Heights - Roosevelt Ave (interior)	40.746796	-73.891009	Interchange	Aboveground	NA	30	NA	NA	48271104	28637340	40.67	0.2882629	66.05	20.49	4295842	2539677	59.12	2330711	54.26	208966	4.86
SL470494	FALSE	2019	Sample	New York	Court square	40.746852	-73.945273	Station	Aboveground	NA	30	NA	NA	45260092	34923638	22.84	0.4335195	73.02	26.57	4163094	2377237	57.1	2195950	52.75	181287	4.35
SL470495	FALSE	2019	Sample	New York	GRAND CENTRAL - 42ND STREET	40.752263	-73.977172	Station	Underground	CLOSED	50	NA	NA	68757378	52923970	23.03	0.3105205	68.75	17.56	7311643	4275223	58.47	4207742	57.55	67481	0.92
SL470496	FALSE	2019	Sample	New York	GRAND CENTRAL - 42ND STREET	40.752263	-73.977172	Station	Underground	CLOSED	50	NA	NA	53441220	24277094	54.57	0.2759394	62.3	19.62	4096670	2575404	62.87	2462330	60.11	113074	2.76
SL470497	FALSE	2019	Sample	New York	Court square	40.746852	-73.945273	Station	Aboveground	NA	10	NA	NA	36627180	23838810	34.91	0.4096266	67.56	23.05	3354491	1807665	53.89	1666952	49.69	140713	4.19
SL470498	FALSE	2019	Sample	New York	Jackson Heights - Roosevelt Ave (interior)	40.746796	-73.891009	Interchange	Aboveground	NA	30	NA	NA	58266824	40503278	30.49	0.4887709	61.48	20.23	6937998	3246851	46.8	3144872	45.33	101979	1.47
SL470499	FALSE	2019	Sample	New York	Jackson Heights - Roosevelt Ave (exterior)	40.746796	-73.891009	Station	Aboveground	OPEN	30	NA	NA	52026388	32511604	37.51	0.3649547	66.45	23.56	4820144	2422923	50.27	2264094	46.97	158829	3.3
