taxonomy_id	name
1794	Mycolicibacterium gadium
319706	Mycolicibacterium phocaicum
1804	Mycolicibacterium gilvum
1552759	Mycobacterium grossiae
499555	Dietzia timorensis
139021	Dietzia psychralcaliphila
33010	Cutibacterium avidum
556499	Propionibacterium acidifaciens
2017486	Nocardioides sp. S5
477641	Modestobacter marinus
2851567	Modestobacter sp. L9-4
138336	Blastococcus saxobsidens
2933797	Blastococcus sp. PRF04-17
712122	Actinomyces sp. oral taxon 414
706438	Actinomyces sp. oral taxon 171
712116	Actinomyces sp. oral taxon 169
1655	Actinomyces naeslundii
544580	Actinomyces oris
1660	Schaalia odontolytica
445576	Pseudonocardia sp. AL041005-10
53461	Nakamurella multipartita
1680	Bifidobacterium adolescentis
216816	Bifidobacterium longum
502394	Deinococcus gobiensis
1299	Deinococcus radiodurans
1309411	Deinococcus soli (ex Cha et al. 2016)
1768108	Deinococcus actinosclerus
317577	Deinococcus ficus
68909	Deinococcus geothermalis
1292	Staphylococcus warneri
29385	Staphylococcus saprophyticus
29378	Staphylococcus arlettae
2799680	Staphylococcus sp. 11-B-312
29380	Staphylococcus caprae
33028	Staphylococcus saccharolyticus
28035	Staphylococcus lugdunensis
946435	Jeotgalicoccus sp. ATCC 8456
1304	Streptococcus salivarius
1584	Lactobacillus delbrueckii
47770	Lactobacillus crispatus
853	Faecalibacterium prausnitzii
1260	Finegoldia magna
54299	Chroococcidiopsis thermalis
2653189	Chroococcidiopsis sp. CCNUC1
2903900	Paracoccus sp. S8-55
1077935	Paracoccus zhejiangensis
82367	Paracoccus pantotrophus
135740	Paracoccus kondratievae
2259340	Paracoccus suum
374432	Methylobacterium tardum
2202828	Methylobacterium radiodurans
270351	Methylobacterium aquaticum
334852	Methylobacterium oryzae
31998	Methylobacterium radiotolerans
2202826	Methylobacterium sp. 17Sr1-1
2051553	Methylobacterium currus
2202827	Methylobacterium terrae
223967	Methylorubrum populi
408	Methylorubrum extorquens
648995	Rhizobium pusense
358	Agrobacterium tumefaciens
2811423	Ensifer sp. PDNC004
106592	Ensifer adhaerens
1867715	Bosea sp. Tri-49
2020412	Bosea sp. ANAM02
2082387	Mesorhizobium sp. Pch-S
1736675	Devosia sp. A16
529	Brucella anthropi
2816454	Aureimonas sp. OT7
1961362	Sphingomonas sp. NIC1
2938948	Sphingomonas sp. S8-45
2219696	Sphingomonas sp. FARSPH
13689	Sphingomonas paucimobilis
2968500	Sphingopyxis sp. DBS4
33050	Sphingopyxis macrogoltabida
13690	Sphingobium yanoikuyae
2561924	Brevundimonas sp. MF30-B
2579977	Brevundimonas sp. SGAir0440
2813778	Brevundimonas sp. CS1
588932	Brevundimonas naejangsanensis
1325724	Brevundimonas vancanneytii
88688	Caulobacter segnis
1679497	Caulobacter flavus
2897332	Roseomonas sp. OT10
1817965	Skermanella rosea
128780	Stenotrophomonas acidaminiphila
128785	Pseudoxanthomonas mexicana
2571115	Pseudoxanthomonas sp. X-1
2508168	Luteimonas sp. YGD11-2
2799326	Luteimonas sp. MC1750
2698682	Lysobacter oculi
69	Lysobacter enzymogenes
470	Acinetobacter baumannii
48296	Acinetobacter pittii
106654	Acinetobacter nosocomialis
40214	Acinetobacter johnsonii
2004644	Acinetobacter sp. WCHA45
108980	Acinetobacter ursingii
108981	Acinetobacter schindleri
756892	Acinetobacter indicus
28090	Acinetobacter lwoffii
40216	Acinetobacter radioresistens
43263	Pseudomonas alcaligenes
287	Pseudomonas aeruginosa
2725477	Pseudomonas tohonis
2303331	Solimonas sp. K1W22B-7
358220	Acidovorax sp. KKS102
225991	Comamonas aquatica
1458426	Serpentinimonas maccroryi
2861282	Massilia sp. NP310
391953	Aquincola tertiaricarbonis
1658665	Mitsuaria sp. 7
82633	Cupriavidus pauculus
47671	Lautropia mirabilis
490	Neisseria sicca
495	Neisseria elongata
488	Neisseria mucosa
184914	Corallococcus coralloides
2596915	Hymenobacter sp. NBH84
1356852	Hymenobacter sp. APR13
2932251	Hymenobacter sp. 5413J-13
651561	Chryseobacterium arthrosphaerae
2004710	Cloacibacterium caeni
343874	Empedobacter falsenii
28132	Prevotella melaninogenica
821	Phocaeicola vulgatus
28454	Sphingobacterium multivorum
371142	Sphingobacterium daejeonense
861299	Gemmatirosa kalamazoonensis
5147	Sordaria macrospora
160290	Clonostachys byssicola
2078593	Colletotrichum shisoi
2086344	Podosphaera cerasi
396024	Aspergillus ruber
41984	Aspergillus tamarii
41413	Aspergillus glaucus
89491	Xeromyces bisporus
89421	Amauroascus niger
264083	Clavaria fumosa
585030	Marasmius tenuissimus
526925	Melampsora pinitorqua
1288636	Ornithinimicrobium flavum
36822	Gordonia rubripertincta
1286181	Mycolicibacterium arabiense
39694	Mycolicibacterium poriferae
216929	Mycolicibacterium psychrotolerans
43765	Corynebacterium amycolatum
37329	Nocardia farcinica
1302	Streptococcus gordonii
29466	Veillonella parvula
879274	Shinella sp. HZN7
185951	Sphingomonas aerolata
1789672	Skermanella mucosa
2220096	Indioceanicola profundi
549	Pantoea agglomerans
65700	Erwinia tracheiphila
54291	Raoultella ornithinolytica
562	Escherichia coli
83655	Leclercia adecarboxylata
618	Serratia odorifera
107445	Pseudomonas sp. A2
945844	Massilia oculi
2839983	Cupriavidus sp. EM10
1056807	Morococcus cerebrosus
1521117	Corallococcus sp. EGB
927083	Sandaracinus amylolyticus
2545799	Capnocytophaga sp. FDAARGOS_737
327575	Capnocytophaga leadbetteri
1017	Capnocytophaga gingivalis
40127	Neurospora tetrasperma
5141	Neurospora crassa
176275	Beauveria bassiana
33203	Purpureocillium lilacinum
2060973	Purpureocillium takamizusanense
1633207	Pestalotiopsis sp. JCM 9685
393283	Pestalotiopsis fici
326628	Annulohypoxylon stygium
33178	Aspergillus terreus
5068	Aspergillus tubingensis
2723674	Blastomyces emzantsi
263923	Mycosphaerella populi
92950	Cladosporium sphaerospermum
2562440	Cladosporiaceae sp. IMV 00045
158605	Trametes coccinea
2600225	Tulasnella sp. 417
2939554	Trichosporon sp. PB005A
1272	Kocuria varians
2103230	Microbacterium sp. str. 'China'
2766784	Microbacterium sp. Nx66
82380	Microbacterium oxydans
2933290	Agrococcus sp. SCSIO52902
2070347	Agrococcus sp. SGAir0287
1729695	Gulosibacter sediminis
2770551	Yimella sp. cx-51
2777556	Brevibacterium sp. SMBL_HHYL_HB1
2823518	Brevibacterium sp. W7.2
1496080	Brevibacterium pigmentatum
2795215	Brachybacterium halotolerans
173361	Brachybacterium rhamnosum
1331682	Brachybacterium ginsengisoli
2017485	Brachybacterium avium
1667168	Dermabacter jinjuensis
1630135	Dermabacter vaginalis
2823898	Corynebacterium sp. CCUG 38989
2778078	Corynebacterium sp. FDAARGOS 1242
53374	Corynebacterium coyleae
1121358	Corynebacterium doosanense
156976	Corynebacterium riegelii
161899	Corynebacterium singulare
1727	Corynebacterium variabile
258224	Corynebacterium resistens
38301	Corynebacterium minutissimum
160386	Corynebacterium casei
161879	Corynebacterium kroppenstedtii
108486	Corynebacterium falsenii
156978	Corynebacterium imitans
39791	Corynebacterium glucuronolyticum
1697	Corynebacterium ammoniagenes
1705	Corynebacterium stationis
1004901	Gordonia iterans
84595	Gordonia polyisoprenivorans
1766	Mycolicibacterium fortuitum
1774	Mycobacteroides chelonae
36809	Mycobacteroides abscessus
1528099	Lawsonella clevelandensis
399497	Tessaracoccus flavescens
1750	Arachnia propionica
75385	Micropruina glycogenica
2074	Pseudonocardia autotrophica
2789425	Actinomyces sp. HMT 175
82135	Fannyhessea vaginae
2702	Gardnerella vaginalis
2722752	Iamia sp. SCSIO 61187
74426	Collinsella aerofaciens
214473	Staphylococcus nepalensis
2781774	Staphylococcus lloydii
1280	Staphylococcus aureus
360911	Exiguobacterium sp. AT1b
2829816	Exiguobacterium sp. PFWT01
1428684	Exiguobacterium alkaliphilum
1308	Streptococcus thermophilus
147802	Lactobacillus iners
51665	Aerococcus urinaeequi
1377	Aerococcus viridans
46125	Abiotrophia defectiva
1491	Clostridium botulinum
938288	Fenollaria massiliensis
54005	Peptoniphilus harei
2948573	Peptoniphilus sp. SAHP1
46507	Ezakiella coagulans
32062	Deinococcus radiophilus
2005469	Calothrix sp. NIES-4071
34004	Paracoccus aminovorans
195105	Haematobacter massiliensis
1850250	Rhodobacter sp. LPB0142
2596913	Sphingomonas sp. NBWT7
93064	Sphingomonas koreensis
397260	Sphingomonas sanxanigenens
1515612	Sphingopyxis fribergensis
33052	Sphingopyxis terrae
1827469	Brevundimonas sp. GW460-12-10-14-LB2
2562582	Brevundimonas sp. 'scallop'
1532555	Brevundimonas sp. DS20
2560058	Brevundimonas sp. Bb-A
2774189	Brevundimonas pondensis
41276	Brevundimonas vesicularis
69665	Caulobacter sp. FWC26
2877941	Shinella sp. XGS7
288000	Bradyrhizobium sp. BTAi1
202956	Acinetobacter towneri
29430	Acinetobacter haemolyticus
487316	Acinetobacter soli
2290922	Lysobacter sp. TY2-98
435897	Lysobacter capsici
314722	Pseudoxanthomonas suwonensis
300	Pseudomonas mendocina
301	Pseudomonas oleovorans
303	Pseudomonas putida
294	Pseudomonas fluorescens
2906062	Pseudomonas wenzhouensis
47886	Pseudomonas luteola
2968969	Stutzerimonas frequens
615	Serratia marcescens
665913	Mixta calida
584	Proteus mirabilis
2498451	Rheinheimera mangrovi
2718	Cardiobacterium hominis
363952	Comamonas thiooxydans
2478662	Acidovorax sp. 1608163
558537	Delftia lacustris
2816950	Ottowia testudinis
1707785	Massilia sp. WG5
639200	Sphaerotilus sulfidivorans
85698	Achromobacter xylosoxidans
90245	Oligella urethralis
28449	Neisseria subflava
153493	Conchiformibius steedae
2877939	Vogesella sp. XCS3
2838877	Chryseobacterium sp. ZHDP1
253	Chryseobacterium indologenes
2820270	Candidatus Kaistella beijingensis
238	Elizabethkingia meningoseptica
1118202	Cruoricaptor ignavus
28127	Prevotella buccalis
165179	Prevotella copri
28123	Porphyromonas asaccharolytica
322095	Porphyromonas somerae
2557994	Sphingobacterium sp. CZ-2
649196	Sphingobacterium hotanense
797291	Sphingobacterium lactis
2502779	Pseudocnuella soli
2716165	Cladosporium sp. TM138-S3
46634	Aureobasidium melanogenum
2894517	Lasiodiplodia sp. KE8409
55194	Malassezia furfur
1708541	Wallemia mellicola
162496	Glutamicibacter creatinolyticus
1658671	Arsenicicoccus sp. oral taxon 190
2048898	Microbacterium sp. Y-01
156977	Microbacterium resistens
904291	Microbacterium sediminis
43669	Brachybacterium faecium
2591145	Cellulomonas sp. Y8
2883169	Corynebacterium uberis
53462	Mycolicibacterium mageritense
1685	Bifidobacterium breve
1689	Bifidobacterium dentium
28026	Bifidobacterium pseudocatenulatum
45634	Streptococcus cristatus
1160721	Ruminococcus bicirculans
2479767	Blautia sp. SC05B48
39485	Lachnospira eligens
33038	[Ruminococcus] gnavus
55148	Deinococcus proteolyticus
1499308	Paracoccus mutanolyticus
2560053	Paracoccus liaowanqingii
451876	Rhizobium rhizoryzae
352475	Shinella zoogloeoides
2897334	Methylorubrum sp. B1-46
266062	Pseudoxanthomonas daejeonensis
2678261	Pseudomonas sp. Pc102
319939	Pseudomonas otitidis
550	Enterobacter cloacae
28141	Cronobacter sakazakii
648	Aeromonas caviae
2479546	Vibrio zhugei
2303332	Cellvibrio sp. KY-GH-1
1590041	Aquitalea sp. USM4
1662285	Methylophilus sp. TWE2
2929800	Chryseobacterium sp. SC2-2
46506	Bacteroides stercoris
820	Bacteroides uniformis
818	Bacteroides thetaiotaomicron
817	Bacteroides fragilis
291644	Bacteroides salyersiae
28116	Bacteroides ovatus
357276	Phocaeicola dorei
28131	Prevotella intermedia
28133	Prevotella nigrescens
823	Parabacteroides distasonis
1604332	Fusarium pininemorale
62714	Golovinomyces magnicellulatus
2301244	Didymella keratinophila
466954	Lasiodiplodia pseudotheobromae
76774	Malassezia obtusa
2606451	Microbacterium sp. 1S1
43771	Corynebacterium urealyticum
2761535	Pseudonocardia sp. CGMCC 4.1532
163604	Nocardiopsis exhalans
2653852	Rubrobacter marinus
1583	Weissella confusa
39956	Methylobacterium mesophilicum
410	Methylobacterium organophilum
1530123	Acinetobacter seifertii
61647	Pluralibacter gergoviae
638	Arsenophonus nasoniae
329	Ralstonia pickettii
105219	Ralstonia mannitolilytica
105560	Methylibium petroleiphilum
28129	Prevotella denticola
1295359	Pyrenochaeta sp. UM 256
2747437	Fusarium liriodendri
2211642	Monosporascus sp. 5C6A
52247	[Candida] inconspicua
29288	Natronococcus occultus
2653851	Rubrobacter tropicus
2025492	Staphylococcus sp. M0911
1288	Staphylococcus xylosus
1296	Mammaliicoccus sciuri
340146	Exiguobacterium mexicanum
1379	Gemella haemolysans
1358	Lactococcus lactis
2005460	Chondrocystis sp. NIES-4102
121719	Pannonibacter phragmitetus
172043	Brevundimonas nasdae
2653203	Sphingomonas sp. CL5.1
1390395	Sphingomonas sp. LK11
2759526	Sphingomonas aliaeris
164608	Novosphingobium sp. KA1
134534	Acinetobacter gyllenbergii
2479392	Pseudomonas sp. LTJR-52
253237	Pseudomonas sp. phDV1
582702	Rhodanobacter glycinis
119219	Cupriavidus metallidurans
47421	Hydrogenophaga pseudoflava
1758194	Achromobacter sp. AONIH1
960	Bacteriovorax stolpii
1416779	Epilithonimonas zeae
237258	Cloacibacterium normanense
1117645	Elizabethkingia anophelis
387090	Phocaeicola coprophilus
28124	Porphyromonas endodontalis
157687	Leptotrichia wadei
851	Fusobacterium nucleatum
58128	Helminthosporium solani
160035	Zopfia rhizophila
4903	Cyberlindnera jadinii
223182	Halobacterium noricense
1407499	Halobacterium hubeiense
1932360	Halorientalis sp. IM1011
1048396	Halopenitus persicus
1702043	Kocuria sp. BT304
2725563	Brevibacterium sp. 'Marine'
1903186	Brachybacterium sp. P6-10-X1
39688	Mycolicibacterium duvalii
103816	Rhodococcus pyridinivorans
1744	Propionibacterium freudenreichii
1827580	Streptomyces nigra
45972	Staphylococcus pasteuri
437897	Megamonas funiformis
1612173	Niveispirillum cyanobacteriorum
1842539	Bosea sp. RAC05
216778	Stenotrophomonas rhizophila
497725	Kosakonia oryzae
565	Atlantibacter hermannii
367488	Blattabacterium sp. (Periplaneta americana)
2560847	Salvovirus salvo
1714373	Microbacterium sp. No. 7
292913	Sphingopyxis sp. 113P3
2761623	Rickettsia tillamookensis
654	Aeromonas veronii
204	Campylobacter showae
259	Sphingobacterium thalpophilum
2663009	Fusobacterium pseudoperiodonticum
712357	Leptotrichia sp. oral taxon 212
40559	Botrytis cinerea
2942909	Brachybacterium kimchii
2823899	Corynebacterium sp. CCUG 27540
702967	Corynebacterium sp. NML98-0116
1828	Rhodococcus fascians
1748	Acidipropionibacterium acidipropionici
2714937	Propioniciclava coleopterorum
111015	Actinomyces radicidentis
2792977	Gardnerella piotii
2021	Thermobifida fusca
246432	Staphylococcus equorum
2807101	Microvirga sp. VF16
2740529	Microvirga sp. R24
78587	Asticcacaulis excentricus
76759	Pseudomonas monteilii
489632	Pseudomonas chengduensis
573	Klebsiella pneumoniae
470934	Pantoea vagans
1076550	Pantoea rwandensis
2970818	Pantoea sp. SOD02
644	Aeromonas hydrophila
863372	Herbaspirillum huttiense
187101	Sneathia vaginalis
1351752	Parastagonospora avenae
2810535	Microbacterium sp. EF45044
2419774	Protaetiibacter intestinalis
1767	Mycobacterium intracellulare
1332264	Tessaracoccus aquimaris
109790	Lactobacillus jensenii
1322	Blautia hansenii
166486	Roseburia intestinalis
739141	Methylobacterium sp. XJLW
2603276	Methylobacterium sp. WL1
418223	Methylobacterium phyllosphaerae
2202825	Methylobacterium durans
1775910	Methylobacterium indicum
1076	Rhodopseudomonas palustris
2082188	Sphingobium sp. YG1
120107	Sphingobium cloacae
1112	Erythrobacter neustonensis
202954	Acinetobacter tandoii
1493872	Chryseobacterium shandongense
195108	Fusarium falciforme
2939553	Trichoderma sp. PF4103
1902580	Macrococcus epidermidis
1590	Lactiplantibacillus plantarum
33034	Anaerococcus prevotii
106648	Acinetobacter bereziniae
472693	Pantoea eucrina
1177574	Prevotella jejuni
869388	Lasiodiplodia citricola
